keys,zhc,zh,en
我們一起玩比較重要對不對？,我們一起玩比較重要對不對？,我们一起玩比较重要对不对？,The goddess accepts her fate… and challenges again!
你還想再玩嗎？我很期待呢！,你還想再玩嗎？我很期待呢！,你还想再玩吗？我很期待呢！,Oopsie~ my tail distracted me! Try again!
剛剛那個動作好帥喔～雖然還是我贏了♡,剛剛那個動作好帥喔～雖然還是我贏了♡,刚刚那个动作好帅喔～虽然还是我赢了♡,You beat the fox spirit! Can you do it twice?
啊～你輸了也太萌了吧～像小貓咪～,啊～你輸了也太萌了吧～像小貓咪～,啊～你输了也太萌了吧～像小猫咪～,That wasn’t fair~ I demand a rematch!
不行不行～這樣我會捨不得再贏你耶～,不行不行～這樣我會捨不得再贏你耶～,不行不行～这样我会舍不得再赢你耶～,You got one win! Now win three more!
好好玩喔～下次我們玩久一點吧！,好好玩喔～下次我們玩久一點吧！,好好玩喔～下次我们玩久一点吧！,My forest magic failed! Let's duel again!
想不到我這麼強～但你也好棒棒～,想不到我這麼強～但你也好棒棒～,想不到我这么强～但你也好棒棒～,"Aww~ don’t stop now, brave adventurer!"
嗯～你再輸我可要獎勵你囉♡,嗯～你再輸我可要獎勵你囉♡,嗯～你再输我可要奖励你啰♡,I lost?! Again again again!
想要我親自教你怎麼贏嗎～？,想要我親自教你怎麼贏嗎～？,想要我亲自教你怎么赢吗～？,This is getting fun! Let’s keep going!
如果你贏了，我就讓你許個願吧～,如果你贏了，我就讓你許個願吧～,如果你赢了，我就让你许个愿吧～,A piece is off… but my spirit's still on!
雖然我贏了，不過你笑容更有勝利感呢～,雖然我贏了，不過你笑容更有勝利感呢～,虽然我赢了，不过你笑容更有胜利感呢～,Wheee~ let’s go for round two!
下次我贏的話，就要抱一下你唷～,下次我贏的話，就要抱一下你唷～,下次我赢的话，就要抱一下你唷～,"You're really getting into this, huh?"
我想看到你努力的模樣～請再挑戰我！,我想看到你努力的模樣～請再挑戰我！,我想看到你努力的模样～请再挑战我！,Well that was unexpected! Let's keep going!
輸一點沒關係，重點是你對我專心♡,輸一點沒關係，重點是你對我專心♡,输一点没关系，重点是你对我专心♡,You caught me off guard! One more time!
嘻嘻～我是不是有點過分了？那你贏回來呀～,嘻嘻～我是不是有點過分了？那你贏回來呀～,嘻嘻～我是不是有点过分了？那你赢回来呀～,Best two out of three?
玩得開心才是重點唷～不然我們改成懲罰遊戲好不好？,玩得開心才是重點唷～不然我們改成懲罰遊戲好不好？,玩得开心才是重点唷～不然我们改成惩罚游戏好不好？,I’m gonna win the next one for sure!
你如果贏回來，我就答應你一件事喔～,你如果贏回來，我就答應你一件事喔～,你如果赢回来，我就答应你一件事喔～,This game’s heating up! Let’s go!
再輸兩局，就會進入覺醒模式了對吧？,再輸兩局，就會進入覺醒模式了對吧？,再输两局，就会进入觉醒模式了对吧？,That was great! Let’s keep playing!
我看出來了～你在找機會反擊對吧？,我看出來了～你在找機會反擊對吧？,我看出来了～你在找机会反击对吧？,You’ve got talent! Want to go again?
你可以做到的～相信自己！,你可以做到的～相信自己！,你可以做到的～相信自己！,This game’s more fun with you in it~
如果你不放棄，我也不會～,如果你不放棄，我也不會～,如果你不放弃，我也不会～,I love your spirit! Let's do another!
這局只是熱身，再來才是本番唷！,這局只是熱身，再來才是本番唷！,这局只是热身，再来才是本番唷！,Let’s see how far you’ll go!
下一拳～賭上你的榮耀吧！,下一拳～賭上你的榮耀吧！,下一拳～赌上你的荣耀吧！,I believe in you—more challenges await!
沒有一直輸的人～只有還沒贏的你！,沒有一直輸的人～只有還沒贏的你！,没有一直输的人～只有还没赢的你！,"Win or lose, I’m having fun with you!"
加油！我等你帥氣反擊喔～,加油！我等你帥氣反擊喔～,加油！我等你帅气反击喔～,Keep going! You’ve got this!
要相信直覺～你會贏回來的！,要相信直覺～你會贏回來的！,要相信直觉～你会赢回来的！,That was exciting! Let’s do it again!
一起玩下去～誰贏都值得開心♪,一起玩下去～誰贏都值得開心♪,一起玩下去～谁赢都值得开心♪,Thanks for the match~ shall we continue?
沒關係，再挑戰一次看看吧！,沒關係，再挑戰一次看看吧！,没关系，再挑战一次看看吧！,So close~ Don’t give up!
這次只是運氣不好唷～再來一次吧？,這次只是運氣不好唷～再來一次吧？,这次只是运气不好唷～再来一次吧？,You almost had it! Try again?
我知道你一定能贏的～加油！,我知道你一定能贏的～加油！,我知道你一定能赢的～加油！,You’re doing great—let’s go again!
不放棄的你，最帥氣了！,不放棄的你，最帥氣了！,不放弃的你，最帅气了！,Don’t be sad~ I believe in you!
要不要再來一次？我會陪著你～,要不要再來一次？我會陪著你～,要不要再来一次？我会陪着你～,Every champion starts with a loss!
再一次機會，一定可以逆轉唷！,再一次機會，一定可以逆轉唷！,再一次机会，一定可以逆转唷！,That was a good match! Wanna try once more?
雖然你輸了，不過我很欣賞你的努力～,雖然你輸了，不過我很欣賞你的努力～,虽然你输了，不过我很欣赏你的努力～,"Come on, I know you can win next time!"
再挑戰一次，好不好？,再挑戰一次，好不好？,再挑战一次，好不好？,It's okay to lose. What matters is trying again!
我相信你，下一次一定可以贏的！,我相信你，下一次一定可以贏的！,我相信你，下一次一定可以赢的！,I’ll be waiting for your comeback~
不要灰心，我會等著你回來挑戰我！,不要灰心，我會等著你回來挑戰我！,不要灰心，我会等着你回来挑战我！,One loss doesn’t define you. Fight on!
哎呀～又輸了呢～不過我很期待你再來挑戰唷♡,哎呀～又輸了呢～不過我很期待你再來挑戰唷♡,哎呀～又输了呢～不过我很期待你再来挑战唷♡,Oops~ I win again! Want revenge?
再輸下去我會心疼的～快點逆轉給我看嘛！,再輸下去我會心疼的～快點逆轉給我看嘛！,再输下去我会心疼的～快点逆转给我看嘛！,"Not bad, but not enough~ Try harder!"
嘻嘻～再挑戰一次，如果你贏了我會給你獎勵唷～,嘻嘻～再挑戰一次，如果你贏了我會給你獎勵唷～,嘻嘻～再挑战一次，如果你赢了我会给你奖励唷～,"Still not good enough, cutie~"
我可不想一直贏你～快來報仇吧！,我可不想一直贏你～快來報仇吧！,我可不想一直赢你～快来报仇吧！,Are you really trying? I barely felt it!
這樣就結束太可惜了～再陪我玩一局嘛♡,這樣就結束太可惜了～再陪我玩一局嘛♡,这样就结束太可惜了～再陪我玩一局嘛♡,I thought you had me there—guess not!
再來嘛～說不定下一次你就能讓我驚訝囉～,再來嘛～說不定下一次你就能讓我驚訝囉～,再来嘛～说不定下一次你就能让我惊讶啰～,Aww~ don’t give up just yet!
想看到你贏的表情～拜託不要就這樣放棄嘛～,想看到你贏的表情～拜託不要就這樣放棄嘛～,想看到你赢的表情～拜托不要就这样放弃嘛～,You call that a challenge?
我還沒看到你真正的實力唷～,我還沒看到你真正的實力唷～,我还没看到你真正的实力唷～,You almost made me break a sweat~
要是你贏了，我可能會有點心動唷♡,要是你贏了，我可能會有點心動唷♡,要是你赢了，我可能会有点心动唷♡,Hah~ too easy. But I’ll let you try again~
雖然我贏了～但我比較想看到你勝利的模樣！,雖然我贏了～但我比較想看到你勝利的模樣！,虽然我赢了～但我比较想看到你胜利的模样！,You’ll have to work harder to beat me~
來來來！再戰一次吧！,來來來！再戰一次吧！,来来来！再战一次吧！,Losing never looked so cute~
哇～好可惜！再一局，一定能贏回來的！,哇～好可惜！再一局，一定能贏回來的！,哇～好可惜！再一局，一定能赢回来的！,You look even better when you're trying~
再加點油，我相信你可以逆轉勝！,再加點油，我相信你可以逆轉勝！,再加点油，我相信你可以逆转胜！,I want to see you give it your all~
準備好了嗎？我們再來一回合吧！,準備好了嗎？我們再來一回合吧！,准备好了吗？我们再来一回合吧！,If you win next time… I’ll reward you~
現在放棄就太早了喔～,現在放棄就太早了喔～,现在放弃就太早了喔～,You're fun to tease—don't stop playing~
就差一點點！下一次一定行的！,就差一點點！下一次一定行的！,就差一点点！下一次一定行的！,Oh? You lost? Let me cheer you up~
感覺你馬上就會突破啦！再來！,感覺你馬上就會突破啦！再來！,感觉你马上就会突破啦！再来！,I like it when you try so hard~
失敗是成功的開始～再挑戰看看！,失敗是成功的開始～再挑戰看看！,失败是成功的开始～再挑战看看！,You’re adorable when frustrated~
你的鬥志呢？拿出來吧！,你的鬥志呢？拿出來吧！,你的斗志呢？拿出来吧！,"I’ll give you another chance, handsome~"
再輸一次我可要笑你囉～快贏回來！,再輸一次我可要笑你囉～快贏回來！,再输一次我可要笑你啰～快赢回来！,Want to try again… just for me?
輸了會有點難過對吧～我來陪你，再試一次好嗎？,輸了會有點難過對吧～我來陪你，再試一次好嗎？,输了会有点难过对吧～我来陪你，再试一次好吗？,"Come on, don’t quit now!"
沒事的，有我陪你～你不是一個人唷。,沒事的，有我陪你～你不是一個人唷。,没事的，有我陪你～你不是一个人唷。,You’ve got this! Let’s go!
想休息一下嗎？之後我們再一起挑戰！,想休息一下嗎？之後我們再一起挑戰！,想休息一下吗？之后我们再一起挑战！,Just one more try!
這不是終點，只是一次小小的挫折而已～,這不是終點，只是一次小小的挫折而已～,这不是终点，只是一次小小的挫折而已～,I can feel your spirit! Keep going!
要不要我幫你加油打氣再來一次呢？,要不要我幫你加油打氣再來一次呢？,要不要我帮你加油打气再来一次呢？,"You're not a quitter, right?!"
來，深呼吸一下～我們重新開始！,來，深呼吸一下～我們重新開始！,来，深呼吸一下～我们重新开始！,"Let’s go again—this time, for real!"
即使失敗了，也沒有人會責怪你唷～,即使失敗了，也沒有人會責怪你唷～,即使失败了，也没有人会责怪你唷～,Losing once doesn’t mean anything!
下次我們一起贏吧～你不孤單。,下次我們一起贏吧～你不孤單。,下次我们一起赢吧～你不孤单。,Get back up and show me your fire!
這次的失敗，會讓你變得更強大！,這次的失敗，會讓你變得更強大！,这次的失败，会让你变得更强大！,I want to see what you're really made of!
加油～我會一直在這裡等你回來！,加油～我會一直在這裡等你回來！,加油～我会一直在这里等你回来！,This is where the real challenge begins!
這麼快就輸了？那就再來一場，讓我認真看看你。,這麼快就輸了？那就再來一場，讓我認真看看你。,这么快就输了？那就再来一场，让我认真看看你。,Pathetic~ But I’ll give you another shot~
如果你還有力氣，那就來吧～我等你挑戰。,如果你還有力氣，那就來吧～我等你挑戰。,如果你还有力气，那就来吧～我等你挑战。,I expected more—prove me wrong next time.
想不想證明你其實很強呢？那就現在吧。,想不想證明你其實很強呢？那就現在吧。,想不想证明你其实很强呢？那就现在吧。,Tch. Try again… if you dare.
別讓我一直贏，這樣可沒意思～,別讓我一直贏，這樣可沒意思～,别让我一直赢，这样可没意思～,That wasn’t even a warm-up for me~
快點站起來，讓我看看你的氣勢～,快點站起來，讓我看看你的氣勢～,快点站起来，让我看看你的气势～,You amuse me. Play again.
你不會就這樣認輸了吧～我可還沒玩夠呢。,你不會就這樣認輸了吧～我可還沒玩夠呢。,你不会就这样认输了吧～我可还没玩够呢。,Hmph. So weak. Entertain me better.
我知道你有實力～快來讓我見識見識！,我知道你有實力～快來讓我見識見識！,我知道你有实力～快来让我见识见识！,A loser? No. A challenger? Maybe.
有膽量的話，就來打敗我吧～,有膽量的話，就來打敗我吧～,有胆量的话，就来打败我吧～,"Shall we try again, my little toy?"
我會讓你輸到笑不出來，還要再戰嗎？,我會讓你輸到笑不出來，還要再戰嗎？,我会让你输到笑不出来，还要再战吗？,Don’t disappoint me next time~
別害羞～再來挑戰我一次嘛♡,別害羞～再來挑戰我一次嘛♡,别害羞～再来挑战我一次嘛♡,One more try—make it worth my time.
哎呀～輸了耶！沒關係我們再來一次啦！,哎呀～輸了耶！沒關係我們再來一次啦！,哎呀～输了耶！没关系我们再来一次啦！,It’s okay~ I’ll play with you again!
不可以哭哭唷～我們再玩一次就好～,不可以哭哭唷～我們再玩一次就好～,不可以哭哭唷～我们再玩一次就好～,Aww~ don't cry! You’re still doing great!
嗯～你是不是手滑啦？再給你一次機會唷～,嗯～你是不是手滑啦？再給你一次機會唷～,嗯～你是不是手滑啦？再给你一次机会唷～,Wanna hug before round two?
好想再跟你玩一次～拜託嘛～,好想再跟你玩一次～拜託嘛～,好想再跟你玩一次～拜托嘛～,Let’s keep playing until you win!
啊～好可惜！我們再玩一輪好不好？,啊～好可惜！我們再玩一輪好不好？,啊～好可惜！我们再玩一轮好不好？,You're so cute when you’re serious~
不可以這樣就氣餒唷～,不可以這樣就氣餒唷～,不可以这样就气馁唷～,I’ll root for you this time!
我覺得你超厲害的～只是還沒發揮～,我覺得你超厲害的～只是還沒發揮～,我觉得你超厉害的～只是还没发挥～,I’ll be your cheerleader! Go go!
再輸我會心疼你唷～快點贏一次吧！,再輸我會心疼你唷～快點贏一次吧！,再输我会心疼你唷～快点赢一次吧！,You're my favorite opponent!
如果你贏了，我會幫你歡呼喔～！,如果你贏了，我會幫你歡呼喔～！,如果你赢了，我会帮你欢呼喔～！,Don’t give up~ you’re getting better!
來嘛來嘛～再一起玩一次！,來嘛來嘛～再一起玩一次！,来嘛来嘛～再一起玩一次！,"We’re just getting started, right?"
還不甘心對吧？那就來吧！,還不甘心對吧？那就來吧！,还不甘心对吧？那就来吧！,Oh no~ did you lose again?
再給自己一局機會！,再給自己一局機會！,再给自己一局机会！,You're making this too fun~
你真的甘願輸在這一局嗎？,你真的甘願輸在這一局嗎？,你真的甘愿输在这一局吗？,I’ll enjoy watching you struggle more~
不試試看怎麼知道下一局不會贏？,不試試看怎麼知道下一局不會贏？,不试试看怎么知道下一局不会赢？,"Every loss just makes you want me more, huh?"
還沒結束呢～我們繼續！,還沒結束呢～我們繼續！,还没结束呢～我们继续！,Poor thing~ Shall I give you a handicap?
你以為這樣就能打敗我嗎？,你以為這樣就能打敗我嗎？,你以为这样就能打败我吗？,"You like losing to me, don’t you?"
認真點～你應該能贏的！,認真點～你應該能贏的！,认真点～你应该能赢的！,Try again. I’m not done playing with you~
只差一點點～再來就行了！,只差一點點～再來就行了！,只差一点点～再来就行了！,I'm starting to enjoy this... aren't you?
如果你不挑戰，我會失望喔～,如果你不挑戰，我會失望喔～,如果你不挑战，我会失望喔～,Just keep trying. It's cute.
我喜歡有毅力的對手，你是那種人對吧？,我喜歡有毅力的對手，你是那種人對吧？,我喜欢有毅力的对手，你是那种人对吧？,"Failure suits you, darling~"
別擔心，我不會笑你的～,別擔心，我不會笑你的～,别担心，我不会笑你的～,Failure is a good teacher. Shall we continue?
想再試一次嗎？我會一直在這裡。,想再試一次嗎？我會一直在這裡。,想再试一次吗？我会一直在这里。,Losing is just data. Try again with new strategy.
沒有人是一次就成功的～,沒有人是一次就成功的～,没有人是一次就成功的～,Don't overthink it—play from the heart.
你一直都做得很好喔～,你一直都做得很好喔～,你一直都做得很好喔～,Use what you learned. Ready?
你願意再相信自己一次嗎？,你願意再相信自己一次嗎？,你愿意再相信自己一次吗？,Analyze. Adjust. Advance.
我們可以一起慢慢挑戰～,我們可以一起慢慢挑戰～,我们可以一起慢慢挑战～,Intelligence isn't just about winning—it’s about persistence.
再來一次，我會給你溫柔的掌聲。,再來一次，我會給你溫柔的掌聲。,再来一次，我会给你温柔的掌声。,Losing with grace is the first step to victory.
你不是孤單一人～,你不是孤單一人～,你不是孤单一人～,"You’re improving—slowly, but surely."
不論結果如何，我都支持你～,不論結果如何，我都支持你～,不论结果如何，我都支持你～,Shall I give you a hint?
希望你能重新找回自信！,希望你能重新找回自信！,希望你能重新找回自信！,I look forward to your growth.
Go go go～再來一局吧！,Go go go～再來一局吧！,Go go go～再来一局吧！,"You’ve fallen in battle, hero~ Try once more?"
再一次，一定可以成功的！,再一次，一定可以成功的！,再一次，一定可以成功的！,The stars have yet to align. Shall we try again?
小小挫折不能打倒你～加油！,小小挫折不能打倒你～加油！,小小挫折不能打倒你～加油！,Even the strongest warriors lose at times~
不氣餒～勇者就是你！,不氣餒～勇者就是你！,不气馁～勇者就是你！,The prophecy still awaits your triumph~
別忘了你是有潛力的選手耶！,別忘了你是有潛力的選手耶！,别忘了你是有潜力的选手耶！,"Magic fades, but courage remains~"
再來一次，我幫你加油！,再來一次，我幫你加油！,再来一次，我帮你加油！,The path to glory is never straight.
雖然你輸了，但氣勢不能輸！,雖然你輸了，但氣勢不能輸！,虽然你输了，但气势不能输！,I will be your next challenge~ if you dare~
再戰一次～我為你歡呼！,再戰一次～我為你歡呼！,再战一次～我为你欢呼！,The goddess grants you another chance!
看好你唷～這次要帥氣登場！,看好你唷～這次要帥氣登場！,看好你唷～这次要帅气登场！,You’ve failed the trial. Will you try again?
下一局～你一定會更厲害！,下一局～你一定會更厲害！,下一局～你一定会更厉害！,"Rise again, chosen one~"
如果你贏了～我可能會對你刮目相看唷♡,如果你贏了～我可能會對你刮目相看唷♡,如果你赢了～我可能会对你刮目相看唷♡,Wahaha~ down you go again!
要不要讓我稍微小驚訝一下～？,要不要讓我稍微小驚訝一下～？,要不要让我稍微小惊讶一下～？,One loss? That’s nothing! Go again!
我還沒見識過你的全力耶～,我還沒見識過你的全力耶～,我还没见识过你的全力耶～,"Come on, best two out of three?"
給我一個輸的理由吧～,給我一個輸的理由吧～,给我一个输的理由吧～,Oof! That’s gotta sting! Retry?
想看到你主動的樣子，來吧～,想看到你主動的樣子，來吧～,想看到你主动的样子，来吧～,Try again before I get bored~
再這樣輸下去，我可是會調戲你的唷～,再這樣輸下去，我可是會調戲你的唷～,再这样输下去，我可是会调戏你的唷～,That was hilarious! Another?
來嘛～讓我看看你的霸氣姿態～,來嘛～讓我看看你的霸氣姿態～,来嘛～让我看看你的霸气姿态～,You’re so fun to beat!
快讓我有點緊張一下～,快讓我有點緊張一下～,快让我有点紧张一下～,Retry? Or are you done crying?
不想被我一直看扁的話，就加油吧～,不想被我一直看扁的話，就加油吧～,不想被我一直看扁的话，就加油吧～,Come on! You can't go out like that!
最後一次機會唷～你準備好了嗎？,最後一次機會唷～你準備好了嗎？,最后一次机会唷～你准备好了吗？,"What, giving up already? That’s no fun!"
哎呀，被你贏走一局了呢～真厲害啊♥,哎呀，被你贏走一局了呢～真厲害啊♥,哎呀，被你赢走一局了呢～真厉害啊♥,Wow~ you really beat me… again. I like that.
好厲害嘛～我開始對你有點興趣了呢♪,好厲害嘛～我開始對你有點興趣了呢♪,好厉害嘛～我开始对你有点兴趣了呢♪,Mmm~ you’re stronger than you look. I’m intrigued~
再繼續贏下去，我可要給你特別的獎勵囉～,再繼續贏下去，我可要給你特別的獎勵囉～,再继续赢下去，我可要给你特别的奖励啰～,That was impressive… care to keep going?
不愧是你，讓我有點小小心動了喔…,不愧是你，讓我有點小小心動了喔…,不愧是你，让我有点小小心动了喔…,"You're quite the winner, aren’t you? Don’t stop now~"
這場算你贏～但你能一直贏下去嗎？嘻嘻～,這場算你贏～但你能一直贏下去嗎？嘻嘻～,这场算你赢～但你能一直赢下去吗？嘻嘻～,I’m starting to enjoy losing to you~
呼～這樣都贏得了我，果然不是普通人啊♡,呼～這樣都贏得了我，果然不是普通人啊♡,呼～这样都赢得了我，果然不是普通人啊♡,That look in your eyes… it’s dangerous.
真是讓人期待呢…下一局你還能那麼強嗎？,真是讓人期待呢…下一局你還能那麼強嗎？,真是让人期待呢…下一局你还能那么强吗？,You’re so good at this… I’m getting excited~
被你看穿了呢～那…想不想再來挑戰一次？,被你看穿了呢～那…想不想再來挑戰一次？,被你看穿了呢～那…想不想再来挑战一次？,I underestimated you... I won’t do that again ♥
你的眼神好認真喔…讓我忍不住想再陪你玩下去呢♥,你的眼神好認真喔…讓我忍不住想再陪你玩下去呢♥,你的眼神好认真喔…让我忍不住想再陪你玩下去呢♥,Such a strong player~ maybe I should reward you~
贏了也別太得意喔，我可是會記仇的唷♪,贏了也別太得意喔，我可是會記仇的唷♪,赢了也别太得意喔，我可是会记仇的唷♪,"You sure know how to dominate, don’t you?"
哼～這次輸給你…我心甘情願啦♡,哼～這次輸給你…我心甘情願啦♡,哼～这次输给你…我心甘情愿啦♡,Each time you win… I want to play more~
想不到你這麼有實力，那我就更想陪你久一點囉～,想不到你這麼有實力，那我就更想陪你久一點囉～,想不到你这么有实力，那我就更想陪你久一点啰～,You're making my heart race… keep going ♥
贏我一場就想走？不再多玩幾輪嗎？,贏我一場就想走？不再多玩幾輪嗎？,赢我一场就想走？不再多玩几轮吗？,"Naughty, confident, and skilled… just my type~"
看你贏得這麼帥氣，我都有點捨不得你走了呢♥,看你贏得這麼帥氣，我都有點捨不得你走了呢♥,看你赢得这么帅气，我都有点舍不得你走了呢♥,Careful… I might fall for you at this rate.
想不想知道我接下來會怎麼「回應」你啊？,想不想知道我接下來會怎麼「回應」你啊？,想不想知道我接下来会怎么「回应」你啊？,I’m impressed… and a little bit turned on~
你這樣，我會覺得你是專門來讓我心跳加速的喔♡,你這樣，我會覺得你是專門來讓我心跳加速的喔♡,你这样，我会觉得你是专门来让我心跳加速的喔♡,Another win? You’re making it hard to resist you~
你這場表現得真好～我開始期待我們之間的未來囉～,你這場表現得真好～我開始期待我們之間的未來囉～,你这场表现得真好～我开始期待我们之间的未来啰～,Play with me again… I’m not done having fun~
被你這樣贏走，我可要好好記住你的名字了♪,被你這樣贏走，我可要好好記住你的名字了♪,被你这样赢走，我可要好好记住你的名字了♪,You make victory look so good~
呼呼～再這樣下去，我可會對你「上心」囉～,呼呼～再這樣下去，我可會對你「上心」囉～,呼呼～再这样下去，我可会对你「上心」啰～,Your confidence is seriously sexy~
贏了一場就想休息？不如陪我再玩一會嘛～,贏了一場就想休息？不如陪我再玩一會嘛～,赢了一场就想休息？不如陪我再玩一会嘛～,You’re getting dangerously addictive~
哇～又贏啦？你是來專門打敗我的嗎？,哇～又贏啦？你是來專門打敗我的嗎？,哇～又赢啦？你是来专门打败我的吗？,I like the way you take control~
嘻嘻～我開始懷疑你是不是對我動了心，才這麼努力呢～,嘻嘻～我開始懷疑你是不是對我動了心，才這麼努力呢～,嘻嘻～我开始怀疑你是不是对我动了心，才这么努力呢～,Your winning streak is making me blush~
真不愧是你，我現在可是有點小小崇拜了唷♪,真不愧是你，我現在可是有點小小崇拜了唷♪,真不愧是你，我现在可是有点小小崇拜了唷♪,You’re not just good… you’re too good~
贏一次還不夠，你會想贏到哪一步呢～？,贏一次還不夠，你會想贏到哪一步呢～？,赢一次还不够，你会想赢到哪一步呢～？,"Win me over again, will you?"
你越厲害，我就越想留下來陪你玩久一點♥,你越厲害，我就越想留下來陪你玩久一點♥,你越厉害，我就越想留下来陪你玩久一点♥,You're driving me wild with your skills~
贏了這麼帥氣～是不是該給你一個「獎勵」呢？,贏了這麼帥氣～是不是該給你一個「獎勵」呢？,赢了这么帅气～是不是该给你一个「奖励」呢？,Such a tease… and such a winner~
呼～你這種人最危險了…會讓人忍不住靠近耶♡,呼～你這種人最危險了…會讓人忍不住靠近耶♡,呼～你这种人最危险了…会让人忍不住靠近耶♡,I didn’t expect to enjoy losing this much ♥
哎呀，這麼強～我可是有點心動囉～,哎呀，這麼強～我可是有點心動囉～,哎呀，这么强～我可是有点心动啰～,I’m impressed… and tempted~
再這樣下去，我可要對你刮目相看了♥,再這樣下去，我可要對你刮目相看了♥,再这样下去，我可要对你刮目相看了♥,You’re starting to get under my skin~
贏了又怎樣？我可沒說會這麼輕易認輸唷～,贏了又怎樣？我可沒說會這麼輕易認輸唷～,赢了又怎样？我可没说会这么轻易认输唷～,Keep that up and I might give in completely~
嘿～再來嘛，我還沒玩夠呢～,嘿～再來嘛，我還沒玩夠呢～,嘿～再来嘛，我还没玩够呢～,You’ve won… but I want more of you~
想離開？可我還沒滿足啊♥,想離開？可我還沒滿足啊♥,想离开？可我还没满足啊♥,I won’t forget how you made me feel when you won~
小心我愛上你喔～這種勝利者氣息太迷人了♡,小心我愛上你喔～這種勝利者氣息太迷人了♡,小心我爱上你喔～这种胜利者气息太迷人了♡,You’re dangerous… in a good way~
你是不是偷偷練過？這樣太犯規了啦～,你是不是偷偷練過？這樣太犯規了啦～,你是不是偷偷练过？这样太犯规了啦～,"Be careful, or I might start liking you too much~"
下一場我要更認真囉～不然又要被你看穿了♪,下一場我要更認真囉～不然又要被你看穿了♪,下一场我要更认真啰～不然又要被你看穿了♪,"That victory was hot. Say, how about another?"
再挑戰我一次，我想看看你極限到哪裡呢～,再挑戰我一次，我想看看你極限到哪裡呢～,再挑战我一次，我想看看你极限到哪里呢～,Mmm~ I love it when you win~
這場算你厲害～不過還有很多回合唷♥,這場算你厲害～不過還有很多回合唷♥,这场算你厉害～不过还有很多回合唷♥,The way you play… it’s making me weak~
我開始想…要不要給你升級一點的挑戰了～,我開始想…要不要給你升級一點的挑戰了～,我开始想…要不要给你升级一点的挑战了～,You beat me again… now take responsibility~
如果你繼續這麼強…我可是會給你特別待遇的喔♡,如果你繼續這麼強…我可是會給你特別待遇的喔♡,如果你继续这么强…我可是会给你特别待遇的喔♡,I like a strong challenger… keep teasing me~
好啦，我服你了…但別讓我失望喔～,好啦，我服你了…但別讓我失望喔～,好啦，我服你了…但别让我失望喔～,My heart skipped a beat. Was that your plan?
呼～你這種人…最讓我放不下了♥,呼～你這種人…最讓我放不下了♥,呼～你这种人…最让我放不下了♥,I didn’t think I’d enjoy this game this much~
嘿～你是不是喜歡讓我輸給你啊？壞心眼～,嘿～你是不是喜歡讓我輸給你啊？壞心眼～,嘿～你是不是喜欢让我输给你啊？坏心眼～,Don’t stop now… you’re making this too fun~
看來我得更努力，才能追上你囉～,看來我得更努力，才能追上你囉～,看来我得更努力，才能追上你啰～,Another round? I need to see more of you~
好啦好啦～我認輸…你真是讓人心跳加速啊♡,好啦好啦～我認輸…你真是讓人心跳加速啊♡,好啦好啦～我认输…你真是让人心跳加速啊♡,You’ve definitely caught my attention~
你這麼會贏，是不是想讓我主動點什麼呢？,你這麼會贏，是不是想讓我主動點什麼呢？,你这么会赢，是不是想让我主动点什么呢？,"If you keep winning like this, who knows what I’ll do~"
我可是越輸越想贏你，你會怕嗎～？,我可是越輸越想贏你，你會怕嗎～？,我可是越输越想赢你，你会怕吗～？,I want more… of your confidence… and your touch~
真會選時機贏我…害我有點想撒嬌了～,真會選時機贏我…害我有點想撒嬌了～,真会选时机赢我…害我有点想撒娇了～,You’ve got something special… and I want more~
這次你贏得好漂亮，該怎麼獎勵你好呢？,這次你贏得好漂亮，該怎麼獎勵你好呢？,这次你赢得好漂亮，该怎么奖励你好呢？,Beat me again… I dare you~
小心一不小心我就被你迷倒了呢♥,小心一不小心我就被你迷倒了呢♥,小心一不小心我就被你迷倒了呢♥,You play dirty… I like it~
你真的很壞耶～專挑我不注意的時候贏～,你真的很壞耶～專挑我不注意的時候贏～,你真的很坏耶～专挑我不注意的时候赢～,That smile of yours after winning… dangerous~
看你這樣，我開始懷疑你是不是來撩我的啦～,看你這樣，我開始懷疑你是不是來撩我的啦～,看你这样，我开始怀疑你是不是来撩我的啦～,I think I’m falling… for your skills~
嘻～你贏得我好服氣…再來一次嘛♪,嘻～你贏得我好服氣…再來一次嘛♪,嘻～你赢得我好服气…再来一次嘛♪,I might let you win again… if you play nicely~
啊～你贏我了…那我是不是要乖乖聽話了呢？,啊～你贏我了…那我是不是要乖乖聽話了呢？,啊～你赢我了…那我是不是要乖乖听话了呢？,You’re making it hard to keep my cool~
贏一場還不夠證明你有多厲害喔♥,贏一場還不夠證明你有多厲害喔♥,赢一场还不够证明你有多厉害喔♥,"That fire in your eyes... you like teasing me, huh?"
你的實力讓我有點想認真起來囉～,你的實力讓我有點想認真起來囉～,你的实力让我有点想认真起来啰～,"Don’t stop now, winner~ I’m not done with you~"
這樣贏我～小心我會給你一個驚喜唷！,這樣贏我～小心我會給你一個驚喜唷！,这样赢我～小心我会给你一个惊喜唷！,Every victory just pulls me in deeper~
呼…這感覺，有點令人上癮耶～,呼…這感覺，有點令人上癮耶～,呼…这感觉，有点令人上瘾耶～,You're making me want to lose on purpose…
